Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,2031.0,2034.5,2027.0,2029.0,2029.0,52164
2019-01-02,1980.0,2041.0,1973.5,2038.0,2038.0,212804
2019-01-03,2011.0,2021.5,1998.5,2002.0,2002.0,110992
2019-01-04,2024.5,2047.5,2017.5,2041.5,2041.5,123427
2019-01-07,2047.0,2047.0,2028.5,2038.25,2038.25,64133
2019-01-08,2027.5,2052.0,2027.5,2045.5,2045.5,48842
2019-01-09,2070.0,2086.5,2061.0,2085.0,2085.0,185654
2019-01-10,2073.5,2087.0,2070.0,2086.75,2086.75,483193
2019-01-11,2094.5,2100.5,2074.0,2078.25,2078.25,157159
2019-01-14,2053.0,2059.0,2046.0,2051.25,2051.25,136270
2019-01-15,2075.0,2092.0,2068.0,2091.0,2091.0,292481
2019-01-16,2085.5,2097.0,2078.5,2097.5,2097.5,309894
2019-01-17,2079.0,2082.0,2069.0,2079.25,2079.25,446324
2019-01-18,2085.0,2112.0,2082.5,2109.0,2109.0,261960
2019-01-21,2105.0,2106.0,2095.5,2097.0,2097.0,164828
2019-01-22,2083.5,2087.0,2067.0,2071.75,2071.75,1225356
2019-01-23,2070.0,2072.5,2057.0,2057.0,2057.0,189848
2019-01-24,2067.5,2086.0,2067.0,2086.0,2086.0,223996
2019-01-25,2098.0,2105.0,2093.5,2094.25,2094.25,359139
2019-01-28,2080.0,2080.5,2061.5,2072.5,2072.5,171272
2019-01-29,2074.0,2085.5,2073.5,2079.25,2079.25,88214
2019-01-30,2099.0,2105.0,2096.0,2103.0,2103.0,60119
2019-01-31,2126.5,2140.0,2126.5,2135.5,2135.5,413030
2019-02-01,2131.0,2143.0,2131.0,2135.75,2135.75,76011
2019-02-04,2131.0,2147.5,2128.5,2147.0,2147.0,162581
2019-02-05,2144.0,2186.5,2144.0,2184.25,2184.25,310982
2019-02-06,2182.0,2186.0,2168.0,2169.75,2169.75,86746
2019-02-07,2160.0,2164.0,2132.0,2131.25,2131.25,847393
2019-02-08,2135.0,2141.0,2115.0,2115.0,2115.0,333651
2019-02-11,2136.0,2146.0,2135.0,2141.0,2141.0,471704
2019-02-12,2145.0,2156.0,2144.5,2151.25,2151.25,114341
2019-02-13,2153.0,2153.0,2140.0,2139.75,2139.75,462883
2019-02-14,2147.0,2154.5,2135.0,2143.25,2143.25,233113
2019-02-15,2129.0,2149.0,2127.0,2144.5,2144.5,180916
2019-02-18,2141.5,2142.5,2133.5,2135.25,2135.25,240642
2019-02-19,2130.0,2130.0,2118.0,2123.0,2123.0,291595
2019-02-20,2135.0,2151.5,2132.5,2147.0,2147.0,175565
2019-02-21,2145.0,2146.0,2124.0,2126.5,2126.5,359780
2019-02-22,2150.5,2164.5,2150.5,2161.25,2161.25,211326
2019-02-25,2171.0,2187.0,2170.5,2185.25,2185.25,302549
2019-02-26,2152.5,2152.5,2138.5,2142.0,2142.0,177728
2019-02-27,2126.5,2126.5,2107.5,2115.5,2115.5,175497
2019-02-28,2105.0,2112.0,2096.5,2098.5,2098.5,423689
2019-03-01,2116.0,2123.5,2105.0,2107.0,2107.0,590137
2019-03-04,2118.0,2126.0,2113.0,2112.75,2112.75,311203
2019-03-05,2132.0,2147.5,2130.0,2147.0,2147.0,288032
2019-03-06,2142.0,2149.0,2137.5,2145.5,2145.5,496943
2019-03-07,2118.0,2130.5,2109.0,2114.5,2114.5,274774
2019-03-08,2087.0,2099.5,2079.5,2096.5,2096.5,540128
2019-03-11,2127.5,2132.0,2117.5,2123.0,2123.0,268149
2019-03-12,2123.5,2146.0,2118.5,2142.5,2142.5,403188
2019-03-13,2126.0,2132.5,2115.5,2115.75,2115.75,275026
2019-03-14,2106.5,2117.0,2096.5,2099.0,2099.0,180402
2019-03-15,2124.5,2131.0,2120.5,2126.0,2126.0,192670
2019-03-18,2138.5,2159.0,2138.0,2154.0,2154.0,89852
2019-03-19,2151.0,2160.5,2150.5,2156.5,2156.5,538494
2019-03-20,2151.5,2168.5,2146.5,2146.5,2146.5,2290262
2019-03-21,2166.0,2187.0,2160.5,2185.5,2185.5,2100091
2019-03-22,2169.5,2169.5,2108.5,2114.5,2114.5,227023
2019-03-25,2106.0,2123.5,2101.0,2122.25,2122.25,288602
2019-03-26,2114.0,2122.5,2114.0,2117.5,2117.5,259120
2019-03-27,2119.5,2121.0,2095.0,2099.0,2099.0,92096
2019-03-28,2104.0,2126.0,2104.0,2123.0,2123.0,525142
2019-03-29,2156.5,2164.5,2147.5,2163.25,2163.25,553768
2019-04-01,2158.5,2182.0,2158.5,2176.0,2176.0,748983
2019-04-02,2189.0,2202.0,2184.5,2188.25,2188.25,307323
2019-04-03,2185.0,2201.0,2185.0,2198.0,2198.0,535314
2019-04-04,2177.5,2209.0,2177.0,2206.75,2206.75,389295
2019-04-05,2212.0,2235.0,2209.0,2234.25,2234.25,2171821
2019-04-08,2216.5,2227.0,2210.5,2227.0,2227.0,4984206
2019-04-09,2222.5,2236.0,2222.5,2224.25,2224.25,295140
2019-04-10,2230.5,2237.5,2227.5,2230.5,2230.5,450837
2019-04-11,2223.0,2223.0,2208.5,2208.5,2208.5,142635
2019-04-12,2212.5,2225.0,2212.5,2218.75,2218.75,296844
2019-04-15,2219.5,2219.5,2199.5,2206.0,2206.0,344503
2019-04-16,2223.5,2233.5,2221.5,2230.5,2230.5,455261
2019-04-17,2239.5,2250.0,2232.5,2239.0,2239.0,244762
2019-04-18,2225.0,2241.0,2223.5,2241.0,2241.0,345514
2019-04-23,2231.0,2245.0,2222.0,2244.25,2244.25,231289
2019-04-24,2239.5,2242.0,2214.0,2221.5,2221.5,404356
2019-04-25,2218.0,2219.5,2205.5,2216.5,2216.5,195012
2019-04-26,2217.0,2227.5,2213.0,2228.0,2228.0,439484
2019-04-29,2231.0,2234.5,2226.5,2227.0,2227.0,257966
2019-04-30,2212.5,2215.0,2194.5,2199.5,2199.5,367869
2019-05-01,2216.5,2216.5,2200.0,2207.0,2207.0,99851
2019-05-02,2198.5,2205.5,2192.5,2191.75,2191.75,180337
2019-05-03,2204.5,2217.5,2202.0,2203.5,2203.5,263660
2019-05-07,2157.5,2160.5,2136.5,2137.5,2137.5,203780
2019-05-08,2145.0,2154.0,2134.5,2148.0,2148.0,292523
2019-05-09,2107.0,2111.5,2074.0,2073.5,2073.5,138219
2019-05-10,2120.0,2121.5,2080.0,2087.0,2087.0,434693
2019-05-13,2081.0,2081.5,2040.0,2049.5,2049.5,385629
2019-05-14,2072.0,2089.5,2071.5,2088.75,2088.75,1330771
2019-05-15,2105.0,2105.0,2082.5,2092.5,2092.5,748798
2019-05-16,2094.5,2116.5,2093.0,2115.75,2115.75,282713
2019-05-17,2078.0,2083.0,2070.0,2081.0,2081.0,1571617
2019-05-20,2076.0,2079.0,2058.5,2064.25,2064.25,103954
2019-05-21,2086.0,2086.5,2074.5,2077.75,2077.75,134708
2019-05-22,2094.0,2103.0,2091.5,2097.75,2097.75,171220
2019-05-23,2078.0,2082.5,2059.5,2069.0,2069.0,427528
2019-05-24,2074.0,2079.5,2059.5,2062.75,2062.75,264372
2019-05-28,2082.5,2086.5,2071.0,2076.5,2076.5,170689
2019-05-29,2064.0,2082.0,2063.0,2076.75,2076.75,728034
2019-05-30,2097.0,2112.5,2092.5,2110.5,2110.5,108882
2019-05-31,2094.0,2113.0,2088.5,2114.0,2114.0,171931
2019-06-03,2119.0,2138.0,2112.0,2136.75,2136.75,319797
2019-06-04,2108.5,2120.5,2105.5,2119.5,2119.5,414918
2019-06-05,2113.5,2128.0,2102.5,2104.5,2104.5,203831
2019-06-06,2108.5,2113.0,2094.5,2103.5,2103.5,159976
2019-06-07,2109.0,2128.0,2104.0,2121.0,2121.0,300625
2019-06-10,2135.5,2149.5,2134.5,2148.75,2148.75,1335801
2019-06-11,2161.5,2170.5,2157.0,2162.25,2162.25,193027
2019-06-12,2145.5,2149.5,2140.0,2141.0,2141.0,283417
2019-06-13,2139.5,2153.5,2139.5,2142.5,2142.5,127516
2019-06-14,2140.0,2146.5,2137.5,2143.0,2143.0,329234
2019-06-17,2146.0,2152.5,2137.5,2150.5,2150.5,676061
2019-06-18,2160.0,2205.0,2157.5,2200.5,2200.5,207000
2019-06-19,2202.0,2202.0,2185.0,2187.75,2187.75,203568
2019-06-20,2211.0,2242.5,2211.0,2225.0,2225.0,762686
2019-06-21,2216.0,2230.0,2213.0,2222.5,2222.5,1002087
2019-06-24,2214.0,2220.0,2209.0,2217.75,2217.75,165371
2019-06-25,2194.0,2208.0,2194.0,2206.75,2206.75,124259
2019-06-26,2208.5,2224.5,2208.5,2222.25,2222.25,180020
2019-06-27,2234.0,2236.5,2222.5,2230.75,2230.75,349121
2019-06-28,2237.0,2237.5,2220.5,2225.0,2225.0,109675
2019-07-01,2262.0,2274.0,2262.0,2263.0,2263.0,188455
2019-07-02,2263.0,2273.0,2255.0,2268.0,2268.0,168696
2019-07-03,2259.0,2265.5,2257.5,2263.25,2263.25,370496
2019-07-04,2271.5,2279.0,2268.5,2277.5,2277.5,156537
2019-07-05,2270.0,2274.5,2259.5,2267.5,2267.5,230796
2019-07-08,2241.5,2254.5,2240.0,2252.25,2252.25,696873
2019-07-09,2241.5,2254.5,2239.5,2252.0,2252.0,513571
2019-07-10,2253.5,2273.5,2247.5,2265.5,2265.5,182815
2019-07-11,2271.0,2274.5,2253.0,2252.75,2252.75,235881
2019-07-12,2261.0,2262.0,2245.5,2248.5,2248.5,136462
2019-07-15,2259.5,2270.5,2258.0,2270.0,2270.0,183221
