Date,Open,High,Low,Close,Adj Close,Volume
2019-07-02,4.742000,4.751000,4.736000,4.737000,4.737000,8383
2019-07-03,4.711500,4.725500,4.711500,4.720000,4.720000,195
2019-07-04,4.722500,4.732500,4.716500,4.728500,4.728500,2000
2019-07-05,4.725500,4.728000,4.700500,4.700500,4.700500,1138
2019-07-08,4.650500,4.652500,4.640000,4.641000,4.641000,20968
2019-07-09,4.641000,4.641000,4.641000,4.641000,4.641000,0
2019-07-10,4.630000,4.630000,4.624500,4.624500,4.624500,500
2019-07-11,4.624000,4.630000,4.607000,4.607000,4.607000,29
2019-07-12,4.607000,4.607000,4.607000,4.607000,4.607000,0
2019-07-15,4.631500,4.656000,4.631500,4.652000,4.652000,2217
2019-07-16,4.652000,4.652000,4.652000,4.652000,4.652000,0
2019-07-17,4.704500,4.704500,4.669500,4.669500,4.669500,4975
2019-07-18,4.669500,4.669500,4.669500,4.669500,4.669500,0
2019-07-19,4.689500,4.703500,4.689500,4.695000,4.695000,725
2019-07-22,4.655500,4.661000,4.655500,4.656500,4.656500,1000
2019-07-23,4.656500,4.656500,4.656500,4.656500,4.656500,0
2019-07-24,4.656500,4.656500,4.656500,4.656500,4.656500,0
2019-07-25,4.794000,4.794000,4.736000,4.736000,4.736000,1400
2019-07-26,4.765500,4.765500,4.747500,4.747500,4.747500,1830
2019-07-29,4.745000,4.745000,4.715500,4.715500,4.715500,2683
2019-07-30,4.746500,4.746500,4.684500,4.684500,4.684500,3655
2019-07-31,4.660500,4.677000,4.660500,4.668000,4.668000,1215
2019-08-01,4.692500,4.712000,4.690000,4.712000,4.712000,1000
2019-08-02,4.712000,4.712000,4.712000,4.712000,4.712000,0
2019-08-05,4.383500,4.383500,4.261000,4.261000,4.261000,571
2019-08-06,4.270500,4.316000,4.268500,4.268500,4.268500,1400
2019-08-07,4.301500,4.313000,4.271000,4.271000,4.271000,1500
2019-08-08,4.341500,4.343500,4.322000,4.343500,4.343500,1365
2019-08-09,4.347500,4.347500,4.292500,4.292500,4.292500,5530
2019-08-12,4.358500,4.358500,4.266000,4.266000,4.266000,2250
2019-08-13,4.266000,4.266000,4.266000,4.266000,4.266000,0
2019-08-14,4.332000,4.332000,4.270500,4.270500,4.270500,3215
2019-08-15,4.270500,4.270500,4.270500,4.270500,4.270500,0
2019-08-16,4.377500,4.405000,4.377500,4.397000,4.397000,2133
2019-08-19,4.508000,4.528000,4.499000,4.499000,4.499000,7075
2019-08-20,4.538500,4.540000,4.510500,4.510500,4.510500,1683
2019-08-21,4.570000,4.570000,4.538500,4.538500,4.538500,2935
2019-08-22,4.503000,4.512500,4.479500,4.479500,4.479500,4406
2019-08-23,4.525500,4.543000,4.384500,4.384500,4.384500,9385
2019-08-26,4.386500,4.424000,4.386500,4.414500,4.414500,2892
2019-08-27,4.414500,4.414500,4.414500,4.414500,4.414500,0
2019-08-28,4.416500,4.436000,4.415000,4.436000,4.436000,80
2019-08-29,4.405000,4.507500,4.405000,4.505500,4.505500,1000
2019-08-30,4.494500,4.536000,4.494500,4.524000,4.524000,2310
2019-09-02,4.548000,4.558500,4.545000,4.545000,4.545000,2177
2019-09-03,4.549000,4.550000,4.537500,4.543000,4.543000,201
2019-09-04,4.613000,4.613000,4.583000,4.592000,4.592000,406
2019-09-05,4.629000,4.657500,4.629000,4.650000,4.650000,1626
2019-09-06,4.664000,4.689500,4.663000,4.675000,4.675000,14187
2019-09-09,4.674500,4.679500,4.670000,4.676500,4.676500,763
2019-09-10,4.658500,4.682000,4.653000,4.656000,4.656000,359
2019-09-11,4.686000,4.733000,4.686000,4.729500,4.729500,1600
2019-09-12,4.750500,4.750500,4.735500,4.735500,4.735500,650
2019-09-13,4.743000,4.774000,4.743000,4.760000,4.760000,2209
2019-09-16,4.711500,4.751500,4.711500,4.751500,4.751500,636
2019-09-17,4.717000,4.717000,4.675500,4.700000,4.700000,400
2019-09-18,4.698000,4.706000,4.685000,4.685000,4.685000,250
2019-09-19,4.685000,4.685000,4.685000,4.685000,4.685000,0
2019-09-20,4.670500,4.708500,4.670500,4.696500,4.696500,146
2019-09-23,4.680000,4.680000,4.643000,4.643000,4.643000,2168
2019-09-24,4.646500,4.646500,4.580500,4.580500,4.580500,214
2019-09-25,4.548500,4.592500,4.540000,4.592500,4.592500,3072
2019-09-26,4.593500,4.604500,4.590000,4.590000,4.590000,1200
2019-09-27,4.594000,4.603500,4.594000,4.602500,4.602500,600
2019-09-30,4.581000,4.581000,4.568500,4.569000,4.569000,3968
2019-10-01,4.581500,4.581500,4.500000,4.507000,4.507000,250
2019-10-02,4.537000,4.537000,4.482000,4.482000,4.482000,200
2019-10-04,4.516500,4.543000,4.506500,4.542500,4.542500,5988
2019-10-07,4.542000,4.543000,4.530000,4.534000,4.534000,1153
2019-10-08,4.565000,4.565000,4.490000,4.490500,4.490500,4487
2019-10-09,4.494500,4.523500,4.494500,4.521500,4.521500,12300
2019-10-10,4.521500,4.521500,4.521500,4.521500,4.521500,0
2019-10-11,4.606500,4.672000,4.606500,4.672000,4.672000,2514
2019-10-14,4.672000,4.672000,4.641000,4.644000,4.644000,9800
2019-10-15,4.641500,4.687000,4.641500,4.675500,4.675500,429
2019-10-16,4.665000,4.683000,4.665000,4.673500,4.673500,2228
2019-10-17,4.673500,4.673500,4.673500,4.673500,4.673500,0
2019-10-18,4.638000,4.643000,4.604500,4.604500,4.604500,16633
2019-10-21,4.587000,4.631000,4.587000,4.613000,4.613000,164300
2019-10-22,4.615000,4.622000,4.615000,4.617500,4.617500,670
2019-10-23,4.570500,4.576500,4.556000,4.576500,4.576500,1556
2019-10-24,4.585500,4.620000,4.585500,4.615500,4.615500,14165
2019-10-25,4.626000,4.653000,4.619000,4.653000,4.653000,2718
2019-10-28,4.674000,4.715000,4.674000,4.707000,4.707000,4199
2019-10-29,4.685000,4.685000,4.667000,4.667000,4.667000,11300
2019-10-30,4.642000,4.642000,4.625500,4.625500,4.625500,200
2019-10-31,4.639000,4.639000,4.610000,4.610000,4.610000,1200
2019-11-01,4.685000,4.685000,4.671000,4.683000,4.683000,1211
2019-11-04,4.749500,4.800000,4.749500,4.774000,4.774000,51000
2019-11-05,4.804000,4.834500,4.804000,4.834500,4.834500,1150
2019-11-06,4.827500,4.862000,4.827500,4.855500,4.855500,2754
2019-11-07,4.872000,4.909000,4.872000,4.909000,4.909000,3511
2019-11-08,4.884500,4.902500,4.884500,4.893000,4.893000,3307
2019-11-11,4.774000,4.813500,4.774000,4.809000,4.809000,1100
2019-11-12,4.816000,4.829500,4.807500,4.818000,4.818000,6882
2019-11-13,4.781000,4.781000,4.728500,4.748000,4.748000,1057
2019-11-14,4.729000,4.738500,4.720000,4.724000,4.724000,1500
2019-11-15,4.725500,4.725500,4.715000,4.721000,4.721000,5710
2019-11-18,4.755500,4.769500,4.739500,4.739500,4.739500,4350
2019-11-19,4.799500,4.799500,4.761500,4.761500,4.761500,1498
2019-11-20,4.761500,4.761500,4.761500,4.761500,4.761500,0
2019-11-21,4.696500,4.723500,4.690000,4.723500,4.723500,4500
2019-11-22,4.746000,4.747000,4.740500,4.741500,4.741500,1400
2019-11-25,4.813000,4.841000,4.813000,4.829000,4.829000,9814
2019-11-26,4.825000,4.835500,4.821500,4.827000,4.827000,2771
2019-11-27,4.856000,4.867000,4.855000,4.861000,4.861000,11900
2019-11-28,4.861000,4.861000,4.861000,4.861000,4.861000,0
2019-11-29,4.779500,4.828000,4.779500,4.791500,4.791500,1310
2019-12-02,4.807500,4.807500,4.726000,4.726000,4.726000,3454
2019-12-03,4.764500,4.770000,4.680000,4.685500,4.685500,249
2019-12-04,4.707000,4.750500,4.707000,4.740500,4.740500,1884
2019-12-05,4.753000,4.757500,4.748000,4.757500,4.757500,3000
2019-12-06,4.802000,4.834500,4.797500,4.827500,4.827500,3067
2019-12-09,4.823000,4.825000,4.810000,4.816000,4.816000,1080
2019-12-10,4.816000,4.816000,4.778000,4.812000,4.812000,613
2019-12-11,4.812000,4.812000,4.812000,4.812000,4.812000,0
2019-12-12,4.885500,4.916500,4.872500,4.916500,4.916500,750
2019-12-13,4.957500,4.977500,4.925500,4.925500,4.925500,1900
2019-12-16,4.978500,5.003000,4.968000,4.993000,4.993000,2103
2019-12-17,5.032000,5.057000,5.028000,5.038000,5.038000,5807
2019-12-18,5.089000,5.089000,5.076000,5.076000,5.076000,1900
2019-12-19,5.073000,5.073000,5.054000,5.070000,5.070000,740
2019-12-20,5.065000,5.147000,5.065000,5.124000,5.124000,4716
2019-12-23,5.107000,5.146000,5.107000,5.114000,5.114000,1961
2019-12-27,5.147000,5.221000,5.144000,5.144000,5.144000,4650
2019-12-30,5.134000,5.170000,5.115000,5.147000,5.147000,5511
2020-01-02,5.221000,5.291000,5.200000,5.254000,5.254000,17304
2020-01-03,5.238000,5.238000,5.174000,5.206000,5.206000,18592
2020-01-06,5.232000,5.232000,5.140000,5.170000,5.170000,3160
2020-01-07,5.198000,5.220000,5.182000,5.205000,5.205000,21949
2020-01-08,5.160000,5.232000,5.160000,5.228000,5.228000,5194
2020-01-09,5.295000,5.361000,5.295000,5.310000,5.310000,38515
2020-01-10,5.354000,5.358000,5.258000,5.318000,5.318000,32634
2020-01-13,5.400000,5.401000,5.312000,5.377000,5.377000,32922
2020-01-14,5.337000,5.395000,5.337000,5.359000,5.359000,26497
2020-01-15,5.338000,5.350000,5.328000,5.344000,5.344000,1579
2020-01-16,5.350000,5.375000,5.340000,5.355000,5.355000,12213
2020-01-17,5.400000,5.428000,5.400000,5.409000,5.409000,7553
2020-01-20,5.439000,5.439000,5.349000,5.376000,5.376000,1359
2020-01-21,5.216000,5.275000,5.190000,5.219000,5.219000,16931
2020-01-22,5.302000,5.302000,5.252000,5.252000,5.252000,8762
2020-01-23,5.204000,5.204000,5.137000,5.145000,5.145000,13508
2020-01-24,5.226000,5.226000,5.165000,5.165000,5.165000,500
2020-01-27,4.983000,4.983000,4.825500,4.914500,4.914500,33150
2020-01-28,4.900000,5.011000,4.887000,5.011000,5.011000,50809
2020-01-29,5.056000,5.112000,5.027000,5.027000,5.027000,3763
2020-01-30,4.899500,4.936500,4.888000,4.891500,4.891500,6000
2020-01-31,4.876000,4.890000,4.814500,4.814500,4.814500,15058
2020-02-03,4.818000,4.954500,4.818000,4.914000,4.914000,20927
2020-02-04,5.026000,5.127000,5.019000,5.127000,5.127000,42620
2020-02-05,5.130000,5.239000,5.090000,5.136000,5.136000,28050
2020-02-06,5.198000,5.251000,5.170000,5.185000,5.185000,57655
2020-02-07,5.191000,5.208000,5.134000,5.134000,5.134000,12600
2020-02-10,5.157000,5.178000,5.154000,5.171000,5.171000,9910
2020-02-11,5.260000,5.295000,5.245000,5.279000,5.279000,18980
2020-02-12,5.309000,5.356000,5.309000,5.356000,5.356000,12300
2020-02-13,5.329000,5.338000,5.281000,5.338000,5.338000,7465
2020-02-14,5.353000,5.364000,5.320000,5.337000,5.337000,24383
2020-02-17,5.414000,5.421000,5.389000,5.397000,5.397000,5163
2020-02-18,5.345000,5.355000,5.328000,5.328000,5.328000,3713
2020-02-19,5.390000,5.410000,5.361000,5.391000,5.391000,4911
2020-02-20,5.410000,5.410000,5.317000,5.317000,5.317000,2092
2020-02-21,5.325000,5.339000,5.290000,5.290000,5.290000,1885
2020-02-24,null,null,null,null,null,null
2020-02-25,5.204000,5.204000,5.112000,5.112000,5.112000,200
2020-02-26,5.144000,5.202000,5.069000,5.167000,5.167000,7135
2020-02-27,5.174000,5.176000,5.000000,5.045000,5.045000,76683
2020-02-28,4.956000,4.963000,4.878000,4.930500,4.930500,3694
2020-03-02,null,null,null,null,null,null
2020-03-03,5.040000,5.088000,5.011000,5.011000,5.011000,13560
2020-03-04,5.011000,5.011000,5.011000,5.011000,5.011000,0
2020-03-05,5.151000,5.151000,5.064000,5.097000,5.097000,10320
2020-03-06,5.015000,5.015000,4.875000,4.875000,4.875000,17930
2020-03-09,null,null,null,null,null,null
2020-03-10,4.777000,4.890000,4.769500,4.769500,4.769500,57590
2020-03-11,4.765500,4.776000,4.733000,4.755500,4.755500,2525
2020-03-12,4.643500,4.643500,4.430000,4.430000,4.430000,5381
2020-03-13,4.630500,4.720000,4.505000,4.566500,4.566500,13223
2020-03-16,null,null,null,null,null,null
2020-03-17,4.394500,4.450000,4.304000,4.414000,4.414000,8811
2020-03-18,4.265500,4.352000,4.187500,4.259000,4.259000,735
2020-03-19,4.204000,4.372500,4.204000,4.372500,4.372500,6574
2020-03-20,4.530000,4.626000,4.487000,4.487000,4.487000,4615
2020-03-23,null,null,null,null,null,null
2020-03-24,4.492500,4.626000,4.483000,4.626000,4.626000,49194
2020-03-25,4.681000,4.722000,4.586000,4.679500,4.679500,57518
2020-03-26,4.702500,4.710000,4.571500,4.691500,4.691500,7536
2020-03-27,4.615000,4.626000,4.514500,4.514500,4.514500,5442
2020-03-30,null,null,null,null,null,null
2020-03-31,4.604500,4.685500,4.601500,4.685000,4.685000,25880
2020-04-01,4.588000,4.624000,4.561500,4.586000,4.586000,7148
2020-04-02,4.667000,4.668500,4.615500,4.655500,4.655500,4795
2020-04-03,4.643000,4.712000,4.643000,4.651000,4.651000,11196
2020-04-06,null,null,null,null,null,null
2020-04-07,4.847000,4.889000,4.800000,4.828500,4.828500,32238
2020-04-08,4.778500,4.792000,4.754500,4.792000,4.792000,4978
2020-04-09,4.831000,4.853500,4.780000,4.799000,4.799000,20594
2020-04-14,4.884000,4.884000,4.840000,4.856000,4.856000,8687
2020-04-15,4.832500,4.832500,4.795500,4.800000,4.800000,18408
2020-04-16,4.891000,4.915500,4.852000,4.907500,4.907500,29608
2020-04-17,4.997000,5.024000,4.912000,4.912000,4.912000,21651
2020-04-20,4.968500,4.977000,4.924500,4.977000,4.977000,13353
2020-04-21,4.919500,4.919500,4.804500,4.804500,4.804500,4355
2020-04-22,4.935500,4.957000,4.919500,4.946000,4.946000,9444
2020-04-23,4.969000,4.977000,4.969000,4.971500,4.971500,4575
2020-04-24,4.935500,4.957500,4.903000,4.903000,4.903000,1804
2020-04-27,4.969000,4.980500,4.969000,4.971000,4.971000,1002
2020-04-28,5.014000,5.035000,5.005000,5.005000,5.005000,4455
2020-04-29,4.992000,5.035000,4.979000,5.028000,5.028000,126915
2020-04-30,5.077000,5.106000,4.969500,4.969500,4.969500,7212
2020-05-04,4.772000,4.772000,4.684500,4.739000,4.739000,73176
2020-05-05,4.825500,4.862000,4.820000,4.862000,4.862000,553
2020-05-06,4.954500,4.954500,4.910500,4.910500,4.910500,544
2020-05-07,4.935500,4.952500,4.927500,4.927500,4.927500,4432
2020-05-08,4.986000,5.045000,4.982500,5.024000,5.024000,5297
2020-05-11,5.067000,5.070000,5.042000,5.056000,5.056000,6511
2020-05-12,5.030000,5.069000,5.030000,5.069000,5.069000,28185
2020-05-13,5.056000,5.085000,5.046000,5.046000,5.046000,8986
2020-05-14,4.997000,4.997000,4.952000,4.986500,4.986500,3378
2020-05-15,5.032000,5.032000,4.943500,4.956500,4.956500,6870
2020-05-18,5.043000,5.132000,5.043000,5.132000,5.132000,5136
2020-05-19,5.136000,5.152000,5.094000,5.152000,5.152000,3798
2020-05-20,5.120000,5.162000,5.120000,5.162000,5.162000,1275
2020-05-21,5.061000,5.061000,4.989500,4.991000,4.991000,3404
2020-05-22,4.869000,4.917500,4.863500,4.881000,4.881000,6130
2020-05-25,4.920000,4.955500,4.887500,4.946000,4.946000,2014
2020-05-26,5.002000,5.002000,4.940000,4.956500,4.956500,3567
2020-05-27,4.923500,4.940000,4.860000,4.865500,4.865500,21148
2020-05-28,4.848500,4.903000,4.822500,4.836000,4.836000,37320
2020-05-29,4.807000,4.842500,4.798500,4.798500,4.798500,11035
2020-06-02,5.002000,5.064000,5.000000,5.044000,5.044000,24213
2020-06-03,5.049000,5.114000,5.049000,5.114000,5.114000,31720
2020-06-04,5.064000,5.076000,5.033000,5.033000,5.033000,4355
2020-06-05,5.028000,5.136000,5.028000,5.136000,5.136000,38534
2020-06-08,5.073000,5.105000,5.052000,5.063000,5.063000,28432
2020-06-09,5.113000,5.122000,5.041000,5.041000,5.041000,14735
2020-06-10,5.112000,5.112000,5.085000,5.098000,5.098000,5957
2020-06-11,5.059000,5.059000,4.995000,4.995000,4.995000,2700
2020-06-12,5.029000,5.067000,5.024000,5.054000,5.054000,12377
2020-06-15,4.978500,5.020000,4.948000,5.020000,5.020000,12577
2020-06-16,5.081000,5.150000,5.077000,5.122000,5.122000,12368
2020-06-17,5.122000,5.178000,5.122000,5.177000,5.177000,27050
2020-06-18,5.180000,5.220000,5.180000,5.207000,5.207000,13212
2020-06-19,5.266000,5.285000,5.256000,5.266000,5.266000,16845
2020-06-22,5.251000,5.267000,5.221000,5.221000,5.221000,11372
2020-06-23,5.293000,5.332000,5.270000,5.301000,5.301000,20371
2020-06-24,5.292000,5.316000,5.246000,5.246000,5.246000,64496
2020-06-25,5.268000,5.268000,5.235000,5.261000,5.261000,9367
2020-06-26,5.282000,5.295000,5.232000,5.237000,5.237000,1254
2020-06-29,null,null,null,null,null,null
2020-06-30,null,null,null,null,null,null
2020-07-01,null,null,null,null,null,null
2020-07-02,null,null,null,null,null,null
2020-07-03,null,null,null,null,null,null
2020-07-06,null,null,null,null,null,null
2020-07-07,null,null,null,null,null,null
2020-07-08,null,null,null,null,null,null
2020-07-09,null,null,null,null,null,null
2020-07-10,null,null,null,null,null,null
2020-07-13,null,null,null,null,null,null
2020-07-14,null,null,null,null,null,null
2020-07-15,null,null,null,null,null,null
2020-07-16,null,null,null,null,null,null
2020-07-17,5.594000,5.596000,5.569000,5.571000,5.571000,8278
